Ask	3
Aunt	4
Arm	3
Art	3
Arch	4
Army	4
Argue	5
Artist	6
Article	7
Bar	3
Car	3
Far	3
Jar	3
Bark	4
Park	4
Dark	4
Mark	4
Shark	5
Cart	4
Dart	4
Mart	4
Part	4
Heart	5
Chart	5
Start	5
Card	4
Yard	4
Hard	4
Harm	4
Charm	5
Farm	4
Fast	4
Mars	4
March	5
Scarf	5
Starch	6
Artificial	10
Archive	7
Architect	9
Argument	8
Afternoon	9
Almond	6
Answer	6
Father	6
Operand	7
Harsh	5
Arbitrary	9
Smart	5
Star	4
Yarn	4
Glove	5
Discover	8
Money	5
Mother	6
Brother	7
Couple	6
Cousin	6
Comfort	7
Sponge	6
Shovel	6
Touch	5
Trouble	7
Tunnel	6
Thorough	8
Oven	4
Front	5
Lunch	5
Tongue	6
Dozen	5
Butter	6
Among	5
Nothing	7
Wonderful	9
Government	10
Up	2
Us	2
But	3
Cut	3
Son	3
Sun	3
Bun	3
Fun	3
Gun	3
Run	3
One	3
Done	4
None	4
Some	4
Come	4
Luck	4
Truck	5
Dove	4
Cover	5
Summer	6
Honey	5
Other	5
Under	5
Wonder	6
Double	6
Sunday	6
Monday	6
Colour	6
Country	7
Compass	7
Company	7
Comfortable	11
Colombia	8
Month	5
Monkey	6
Stomach	7
Onion	5
Young	5
London	6
Acting	6
Actor	5
Actual	6
After	5
Attitude	8
Blank	5
Calibrate	9
Capital	7
Cat	3
Chance	6
Classmate	9
Fabricate	9
Factory	7
Laminate	8
Man	3
Natural	7
Pass	4
Pattern	7
Perhaps	7
Stand	5
Act	3
Apple	5
Active	6
Actress	7
Bat	3
Rat	3
Hat	3
Chat	4
Sat	3
Bad	3
Dad	3
Sad	3
Had	3
Can	3
Ran	3
Plan	4
Land	4
Hand	4
Sand	4
Understand	10
Gas	3
Class	5
Glass	5
Clash	5
Match	5
Catch	5
Patch	5
Fact	4
Past	4
Back	4
Track	5
Shall	5
Have	4
Contact	7
Exact	5
Aspirate	8
Saturate	8
Floor	5
Draw	4
Fall	4
Shawl	5
Pour	4
Score	5
Adore	5
Law	3
Jaw	3
Raw	3
Ball	4
Hall	4
Call	4
Tall	4
Wall	4
Small	5
Crawl	5
Recall	6
Install	7
Waterfall	9
Basketball	10
Corn	4
Horn	4
Warn	4
Thorn	5
Unicorn	7
Lawn	4
Fork	4
Torque	6
Talk	4
Walk	4
Chalk	5
Stalk	5
Drawback	8
Form	4
Conform	7
Perform	7
Transform	9
Uniform	7
Platform	8
Chloroform	10
Norm	4
Warm	4
Storm	5
Thunderstorm	12
Horse	5
Course	6
Coarse	6
Pause	5
Cause	5
Clause	6
Applause	8
Lord	4
Ward	4
Award	5
Reward	6
Record	6
Accord	6
Landlord	8
Faulty	6
Naughty	7
Glory	5
Storey	6
Laundry	7
Strawberry	10
Extraordinary	13
Decor	5
Indoor	6
Mentor	6
Before	6
Ignore	6
Explore	7
Outdoor	7
Corridor	8
Dinosaur	8
Metaphor	8
Therefore	9
Cautious	8
Glorious	8
Gorgeous	8
Nauseous	8
Chorus	6
Enormous	8
Absorption	10
Distortion	10
Corporation	11
Transportation	14
Scorpion	8
Board	5
Aboard	6
Cardboard	9
Dashboard	9
Flaw	4
Laud	4
Salt	4
Sort	4
Taut	4
Halt	4
Torch	5
Fault	5
Fraud	5
Forum	5
Short	5
Straw	5
Court	5
North	5
Broad	5
Format	6
Drawer	6
Launch	6
Lawyer	6
Warden	6
Normal	6
Absorb	6
Toward	6
Portal	6
Causal	6
Quartz	6
Airport	7
Support	7
Default	7
Divorce	7
Morning	7
Forward	7
Formula	7
Fortune	7
Enforce	7
Exhaust	7
Towards	7
Passport	8
Daughter	8
Resource	8
Withdraw	8
Disorder	8
Memorial	8
Portable	8
Portrait	8
Tortoise	8
Wardrobe	8
Important	9
Informant	9
Transport	9
Laughter	8
Talkative	9
Astronaut	9
Corporate	9
Affordable	10
Exhaustive	10
Porch	5
Fauna	5
Forgo	5
Dwarf	5
Flora	5
Hawker	6
Naught	6
Saucer	6
Warmth	6
Caustic	7
Consort	7
Decorum	7
Defraud	7
Foreman	7
Tornado	7
Euphoria	8
Forcibly	8
Launcher	8
Lordship	8
Ornamental	10
Orthogonal	10
Reportedly	10
Watercress	10
Proportionate	13
Subordinate	11
Unfortunate	11
Leg	3
Jet	3
Wet	3
Pet	3
Let	3
Yet	3
Men	3
Pen	3
Web	3
He'll	5
We'll	5
Fell	4
Tell	4
She'll	6
Spell	5
Smell	5
Sent	4
Bent	4
Rent	4
Test	4
Nest	4
Rest	4
Neck	4
Peck	4
Check	5
Less	4
Dress	5
Stress	6
Spend	5
Edge	4
Sketchy	7
Then	4
When	4
Them	4
Stem	4
Fresh	5
Step	4
Went	4
Essay	5
Getting	7
Setting	7
Selling	7
Telling	7
Yelling	7
Wedding	7
Fetching	8
Stepping	8
Settle	6
Kennel	6
Fennel	6
Peddle	6
Meddle	6
Lesson	6
Whether	7
Letter	6
Better	6
Beggar	6
Pepper	6
Cellar	6
Tennis	6
Chess	5
Access	6
Excess	6
Assess	6
Address	7
Goddess	7
Lettuce	7
Fellow	6
Sketch	6
Stretch	7
Ethics	6
Ethnic	6
Checkup	7
Method	6
Antenna	7
Checkers	8
Dilemma	7
Dressy	6
Bellow	6
Reddish	7
Per	3
Stir	4
Defer	5
Refer	5
Prefer	6
Recur	5
Concur	6
Cursor	6
Occur	5
Herb	4
Verb	4
Bird	4
Curd	4
Heard	5
Word	4
Third	5
Earn	4
Burn	4
Turn	4
Learn	5
Hurt	4
Dirt	4
Shirt	5
Alert	5
Merge	5
Diverge	7
Burst	5
Thirst	6
Girl	4
Pearl	5
Birth	5
Term	4
Firm	4
Worm	4
Affirm	6
Confirm	7
Work	4
Quirk	5
Network	7
Homework	8
Purse	5
Nurse	5
Curse	5
Worker	6
Learner	7
Burner	6
Further	7
Researcher	10
Circular	8
Herbal	6
Verbal	6
Kernel	6
Circle	6
Turtle	6
Hurdle	6
Internal	8
External	8
Eternal	7
Maternal	8
Paternal	8
Reversal	8
Vertical	8
Surgical	8
Colonel	7
Adverb	6
Superb	6
Disturb	7
Upward	6
Absurd	6
Return	6
Concern	7
Adjourn	7
Discern	7
Insert	6
Dessert	7
Convert	7
Invert	6
Subvert	7
Early	5
Curly	5
Certainly	9
Personally	10
Carefully	9
Vertically	10
Universe	8
Converse	8
Diversion	9
Dispersion	10
Immersion	9
Reversion	9
Inversion	9
Perspiration	12
Circumstance	12
Permanent	9
Entertainment	13
Advertisement	13
Determinant	11
Transfer	8
